sensor_video,obj_id,pose_id,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
video_1.mp4,1,1,-1.265006176,0,0,0.652554464,0.173830606,-44.95874686
video_2.mp4,1,2,8.141127463,0,0,-0.278435627,-0.311672827,-44.92486803
video_3.mp4,1,3,-0.585519916,0,0,-0.019731334,0.760965643,-44.91486712
video_4.mp4,1,4,-5.491921462,0,0,0.308067918,0.674294353,-44.8573341
video_5.mp4,1,5,-4.122719262,0,0,-0.091061149,0.941540375,-44.76979849
video_6.mp4,1,6,-0.150977675,0,0,0.129252876,-0.747755456,-44.76251565
video_7.mp4,1,7,3.8149296,0,0,0.974233535,-0.843152039,-44.69406611
video_8.mp4,1,8,3.771540414,0,0,-0.975264548,-0.592485963,-44.67271986
video_9.mp4,1,9,2.049938475,0,0,0.61738844,-0.796532154,-44.65259711
video_11.mp4,1,11,4.132219417,0,0,0.44354448,0.297942842,-44.63027583
video_12.mp4,1,12,0.842330014,0,0,-0.220360364,0.587574452,-44.62856385
video_13.mp4,1,13,7.171870584,0,0,-0.379088699,0.672690056,-44.60988155
video_14.mp4,1,14,-1.150058741,0,0,0.200927209,-0.341822533,-44.60867408
video_15.mp4,1,15,-4.345771064,0,0,0.530283071,0.218748002,-44.55196646
video_16.mp4,1,16,7.447738223,0,0,-0.518604735,0.3933086,-44.4363588
video_17.mp4,1,17,8.238966919,0,0,-0.684009008,0.194228106,-44.42216797
video_18.mp4,1,18,-3.143141091,0,0,0.322473144,-0.475244789,-44.41993353
video_19.mp4,1,19,-4.13015865,0,0,0.561970741,0.437298659,-44.40097311
video_20.mp4,1,20,1.494101783,0,0,-0.23016999,0.228374591,-44.33174134
video_21.mp4,1,21,-1.299499848,0,0,-0.890659944,-0.633959172,-44.29840627
video_22.mp4,1,22,-2.406828109,0,0,-0.588664361,0.751026086,-44.28024493
video_23.mp4,1,23,8.769055764,0,0,0.663097425,0.985832382,-44.17568176
video_24.mp4,1,24,-2.686861125,0,0,0.025982457,0.630191655,-44.15600139
video_25.mp4,1,25,3.541635974,0,0,0.978869052,0.258815637,-44.15249375
video_26.mp4,1,26,1.704891273,0,0,0.014401039,0.484740116,-44.08596702
video_27.mp4,1,27,-5.321539749,0,0,-0.97704268,0.427906242,-44.03312825
video_28.mp4,1,28,1.891413122,0,0,0.977315331,0.191685729,-43.98184757
video_29.mp4,1,29,2.184488011,0,0,-0.893629103,-0.879098175,-43.97931032
video_30.mp4,1,30,-3.769622749,0,0,-0.357060141,0.612695395,-43.88801901
video_31.mp4,1,31,-3.098665492,0,0,0.674690311,-0.120833032,-43.84727534
video_32.mp4,1,32,-5.866128112,0,0,-0.224129886,0.804570065,-43.80437208
video_33.mp4,1,33,-4.913954812,0,0,-0.625381535,-0.131577225,-43.79623422
video_34.mp4,1,34,-2.855332033,0,0,0.225094432,-0.531125418,-43.73981527
video_35.mp4,1,35,4.290320565,0,0,-0.837470214,-0.752152628,-43.72469006
video_36.mp4,1,36,-0.269648224,0,0,0.709372588,-0.15843465,-43.68973807
video_37.mp4,1,37,1.267208019,0,0,0.49136649,-0.354991147,-43.56836912
video_38.mp4,1,38,-2.848555085,0,0,0.01496111,0.722525373,-43.47684714
video_39.mp4,1,39,3.983688168,0,0,0.821229501,-0.17246209,-43.37893767
video_40.mp4,1,40,0.632657029,0,0,-0.006548242,0.576102082,-42.93074815
video_41.mp4,1,41,2.794733845,0,0,0.795846691,-0.331074606,-42.91203293
video_42.mp4,1,42,-5.524779426,0,0,0.180186325,0.220377375,-42.86510485
video_43.mp4,1,43,2.437784595,0,0,-0.59290321,-0.485796104,-42.86273737
video_44.mp4,1,44,2.898107151,0,0,0.099190273,0.607995971,-42.80086515
video_45.mp4,1,45,-4.989678852,0,0,0.147249489,-0.748993314,-42.74193214
video_46.mp4,1,46,-3.387735508,0,0,-0.164097597,-0.445628156,-42.72200324
video_47.mp4,1,47,4.649736639,0,0,0.5873258,0.364519194,-42.69480887
video_48.mp4,1,48,-5.972810687,0,0,-0.973104107,0.07814102,-42.68557406
video_49.mp4,1,49,-2.272290524,0,0,-0.594421679,0.051974416,-42.68432676
video_50.mp4,1,50,-0.026332226,0,0,0.227581977,0.301352052,-42.53523385
video_51.mp4,1,51,3.825712549,0,0,0.586430269,-0.722933756,-42.48235081
video_52.mp4,1,52,5.111018758,0,0,-0.609936607,-0.567017215,-42.46858136
video_53.mp4,1,53,0.400917458,0,0,0.65820824,0.092625363,-42.4633562
video_54.mp4,1,54,8.983315984,0,0,0.233618195,-0.108033852,-42.39424292
video_55.mp4,1,55,-4.02604032,0,0,-0.790960223,-0.997881198,-42.38481668
video_56.mp4,1,56,4.182919549,0,0,-0.50369009,0.440776691,-42.3803716
video_57.mp4,1,57,2.927660754,0,0,0.614176382,-0.062470063,-42.35909775
video_58.mp4,1,58,-0.592817917,0,0,-0.163189606,0.723773372,-42.26894414
video_59.mp4,1,59,-4.639766713,0,0,-0.956280453,-0.820252759,-42.22639708
video_60.mp4,1,60,4.346866611,0,0,0.748349107,-0.871545206,-42.20507058
video_61.mp4,1,61,-3.152656795,0,0,-0.938529431,-0.800207472,-42.18034881
video_62.mp4,1,62,8.926050481,0,0,0.446459067,-0.303240742,-42.17041395
video_63.mp4,1,63,-1.533530058,0,0,0.417762855,0.621505615,-42.11156349
video_64.mp4,1,64,-1.436927674,0,0,-0.956498448,0.118792085,-42.09859614
video_65.mp4,1,65,8.39208448,0,0,0.757344886,-0.630262577,-42.04066744
video_66.mp4,1,66,5.121165766,0,0,-0.484573203,-0.046089716,-41.9432441
video_67.mp4,1,67,8.580706238,0,0,0.838237088,0.892373403,-41.93138712
video_68.mp4,1,68,6.800053037,0,0,0.53422667,0.434553154,-41.90279667
video_69.mp4,1,69,-2.729774234,0,0,0.056717935,0.816012368,-41.82651844
video_70.mp4,1,70,-2.4872249,0,0,-0.318213506,0.189037338,-41.7729029
video_71.mp4,1,71,-2.195483143,0,0,0.460190334,-0.869314036,-41.76661772
video_72.mp4,1,72,2.6532536,0,0,0.818411443,-0.331645773,-41.64036121
video_73.mp4,1,73,-4.802871385,0,0,-0.102332501,0.70598025,-41.60893092
video_74.mp4,1,74,6.485700303,0,0,-0.132303056,0.537531589,-41.60190566
video_75.mp4,1,75,-4.149428818,0,0,-0.45028784,0.572565679,-41.55662613
video_76.mp4,1,76,-4.53863557,0,0,0.201946916,-0.980685095,-41.53415387
video_77.mp4,1,77,3.747822861,0,0,-0.288533306,-0.491331611,-41.4734619
video_78.mp4,1,78,3.779956613,0,0,0.66568853,0.907576721,-41.42521982
video_79.mp4,1,79,7.761355278,0,0,0.92419298,-0.86440882,-41.39652099
video_80.mp4,1,80,-0.476117582,0,0,0.521971673,-0.155649492,-41.35284969
video_81.mp4,1,81,-3.226899259,0,0,0.627007651,-0.219825842,-41.28617533
video_82.mp4,1,82,-0.993466377,0,0,0.696115024,0.371795574,-41.24606419
video_83.mp4,1,83,2.826322237,0,0,-0.833034177,-0.217642468,-41.17149647
video_84.mp4,1,84,-3.305504029,0,0,-0.230417056,0.567181929,-41.12429542
video_85.mp4,1,85,5.7366109,0,0,-0.113596576,0.201400779,-40.97115381
video_86.mp4,1,86,5.032132852,0,0,0.708840736,-0.567854246,-40.94996573
video_87.mp4,1,87,-1.551860696,0,0,-0.325154787,-0.64552651,-40.941864
video_88.mp4,1,88,5.995217564,0,0,0.295650095,-0.076718813,-40.92731228
video_89.mp4,1,89,3.251030827,0,0,-0.453537151,-0.032957799,-40.90947907
video_90.mp4,1,90,7.692759353,0,0,-0.740616097,-0.447331011,-40.89364622
video_91.mp4,1,91,4.811865916,0,0,-0.835926608,0.983797807,-40.87643365
video_92.mp4,1,92,-2.589518463,0,0,0.470040284,0.356672319,-40.84654642
video_93.mp4,1,93,-3.856294964,0,0,-0.50182815,-0.154711515,-40.81219421
video_94.mp4,1,94,0.733055761,0,0,-0.47712484,0.687618377,-40.81163284
video_95.mp4,1,95,-3.046689856,0,0,0.882899518,-0.276209881,-40.77878574
video_96.mp4,1,96,-1.520863375,0,0,-0.21718809,0.283463832,-40.7198139
video_97.mp4,1,97,-1.521381054,0,0,-0.295807414,0.429080489,-40.65729523
video_98.mp4,1,98,-3.652699436,0,0,0.067183037,-0.098372995,-40.63744824
video_99.mp4,1,99,2.544006547,0,0,-0.065707981,0.31507625,-40.51488433
video_100.mp4,1,100,-4.314510575,0,0,-0.636541907,0.562894037,-40.4968338
video_101.mp4,1,101,-2.227918124,0,0,-0.475869724,0.133039546,-40.49141994
video_102.mp4,1,102,3.784775384,0,0,-0.143962252,-0.906943594,-40.44384672
video_103.mp4,1,103,5.698812629,0,0,-0.780112323,0.821428089,-40.35920215
video_104.mp4,1,104,4.637351986,0,0,0.926203135,-0.880542952,-40.3338401
video_105.mp4,1,105,7.703949319,0,0,0.453813702,-0.9873934,-40.3302165
video_106.mp4,1,106,7.97262455,0,0,-0.341641821,-0.61410787,-40.12054224
video_107.mp4,1,107,-0.641888468,0,0,-0.986674847,0.289014507,-40.116714
video_108.mp4,1,108,1.022246693,0,0,-0.489014183,0.179550811,-40.0775503
video_109.mp4,1,109,-0.259605296,0,0,0.676049727,-0.197396794,-39.97773378
video_110.mp4,1,110,0.391576978,0,0,-0.785878099,-0.537996627,-39.8164445
video_111.mp4,1,111,5.175366778,0,0,0.72351273,0.711220836,-39.74382313
video_112.mp4,1,112,-4.504207852,0,0,0.086289795,0.376292892,-39.74285895
video_113.mp4,1,113,3.44863347,0,0,-0.528960584,-0.894651461,-39.69561503
video_114.mp4,1,114,8.593223314,0,0,0.658709435,0.063067379,-39.69006135
video_115.mp4,1,115,-0.971485005,0,0,0.851095441,0.806719483,-39.62506665
video_116.mp4,1,116,7.115851249,0,0,-0.385945811,0.783202112,-39.53890701
video_117.mp4,1,117,4.21592801,0,0,-0.509981558,0.774139748,-39.52670326
video_118.mp4,1,118,-2.433890744,0,0,-0.81952468,-0.973147453,-39.48967384
video_119.mp4,1,119,6.847529084,0,0,0.665496596,-0.944205403,-39.47571438
video_120.mp4,1,120,8.943801535,0,0,-0.426231189,0.494503224,-39.32220468
video_121.mp4,1,121,5.82148534,0,0,0.155794514,0.423646508,-39.30240592
video_122.mp4,1,122,6.89088285,0,0,-0.579685757,0.179853312,-39.27423769
video_123.mp4,1,123,-2.036655773,0,0,-0.120673561,0.035515525,-39.23195689
video_124.mp4,1,124,7.903382412,0,0,0.753537113,-0.290306174,-39.1910179
video_125.mp4,1,125,4.038750214,0,0,-0.065612416,-0.263373059,-39.16659805
video_126.mp4,1,126,7.909346896,0,0,-0.251198718,0.04057671,-39.15135745
video_127.mp4,1,127,1.675026226,0,0,-0.801557726,0.069409721,-39.12067781
video_128.mp4,1,128,-3.56391348,0,0,-0.909591139,0.803463823,-39.09943363
video_129.mp4,1,129,5.026353225,0,0,0.581611987,-0.060231114,-39.03071057
